ano,id_regiao,renda_principal
2005,4,1367.3127221833404
2005,5,1326.7462603051413
2006,1,1004.6316404456903
2006,2,840.08181379502082
2006,3,1405.1969838399193
2006,4,1427.4772764696213
2006,5,1412.509854327335
2007,1,1048.7897715001534
2007,2,863.93712445392066
2007,3,1419.2986718985808
2007,4,1463.2535290796172
2007,5,1531.6128029832194
2008,1,1016.7045543520788
2008,2,903.06853614537238
2008,3,1435.418017964606
2008,4,1495.2526071185639
2008,5,1576.7308270676724
2009,1,1072.0854668831432
2009,2,940.23426623712749
2009,3,1470.3717021088871
2009,4,1530.2512999210517
2009,5,1583.6709454023965
2011,1,1139.8140604726173
2011,2,974.79860651454464
2011,3,1546.4918844154081
2011,4,1571.4415355283
2011,5,1641.3111093762218
2012,1,1158.6506356256705
2012,2,1020.9224215097964
2012,3,1635.8404113142842
2012,4,1645.934128558257
2012,5,1725.7412293853072
2013,1,1172.5969247869589
2013,2,1063.0539395269532
2013,3,1689.2667205400016
2013,4,1729.7227469006771
2013,5,1775.1336662185527
2014,1,1187.7327573742043
2014,2,1050.9457233915239
2014,3,1715.1217093810033
2014,4,1733.1313597509356
2014,5,1772.9843375714033
2015,1,
2015,2,
2015,3,
2015,4,
2015,5,
